slug,market,community_name,city,state,starting_rent,beds_min,beds_max,feature_count,features,zip_candidates,page_location,fetch_status
the-grove-at-wendell,carolinas,The Grove at Wendell,Wendell,NC,1880,3,3,9,Modern appliances; High-speed internet; Dog park; Lawn care; High ceilings; Pool; Cabana; Large walk-in closets; Park,27545;27591,,ok
arbordale-village,dallas,Arbordale Village,Forney,TX,2144,4,4,6,Fenced yard; Granite countertops; Luxury vinyl plank; Modern appliances; Garage; Playground,75001;75126,"Forney, TX",ok
bluebonnet-trail-townhomes,dallas,Bluebonnet Trail Townhomes,Arlington,TX,2491,2,4,8,Fenced yard; Luxury vinyl plank; W/D hookups; Modern appliances; Quartz countertops; Solar; Patio; Dog park and nature trail,75001;76001,,ok
branch-village,dallas,Branch Village,Princeton,TX,1640,3,4,7,Fenced yard; W/D hookups; Modern appliances; Picnic areas; Patio; Gazebo; Dog park,75001;75407,"Princeton, TX",ok
eastland,dallas,Eastland,Crandall,TX,2048,3,4,7,Fenced yard; Luxury vinyl plank; Quartz countertops; Playground; Walking trails; Community pool; Park,75001;75114,"Crandall, TX",ok
highbridge,dallas,Highbridge,Crandall,TX,1270,1,4,5,W/D hookups; Playground; Patio; Gazebo; Community pool,75001;75114,"Crandall, TX",ok
landing-at-creekside,dallas,Landing at Creekside,Fort Worth,TX,2053,3,4,6,Fenced yard; Granite countertops; Luxury vinyl plank; Community playground; Kitchen island; Park,75001;76179,"Fort Worth, TX",ok
rosemary-ridge,dallas,Rosemary Ridge,Fort Worth,TX,2194,3,4,6,Fenced yard; Recessed LED lighting; Patio; 2-car garage; Modern kitchen with designer cabinetry; Walk-in shower,75001;76036,"Crowley, TX",ok
havenwood-at-harmony,denver,Havenwood at Harmony,Aurora,CO,2859,3,4,8,Attached 2-car garage; Granite countertops; Modern appliances; Walking trails; Dog park; Fitness center; Clubhouse; Resort-style pool,80018;80111,,ok
lorson-ranch,denver,Lorson Ranch,Colorado Springs,CO,2309,3,4,8,Fenced yard; Attached 2-car garage; Granite countertops; Private patio; Luxury vinyl plank; Kitchen island/peninsula; W/D hookups; Walk-in closets,80111;80925,"Colorado Springs, CO",ok
murphy-creek,denver,Murphy Creek,Aurora,CO,2704,,,8,Luxury vinyl plank; W/D included; Community playground; 2-car garage; Dog park; Front porch; Tennis courts; Swimming pool,80018;80111,,ok
becker-fields,houston,Becker Fields,Hockley,TX,1920,3,4,7,Fenced yard; Walk-in closets; Walking trails; Picnic areas; Community playground; En Suite primary bedrooms; Air conditioning,77098;77447,"Hockley, TX",ok
cielo,houston,Cielo,Conroe,TX,1923,5,5,8,Luxury vinyl plank; W/D hookups; Modern appliances; Playground; Dog park; Pickleball court; Activity lawn; Covered pavilion,77303,"Conroe, TX",ok
fountain-park,houston,Fountain Park,Stafford,TX,2630,3,3,6,Fenced yard; Attached 2-car garage; Modern appliances; Walk-in closets; Patio; Kitchen island,77098;77477,"Stafford, TX",ok
magnolia-springs,houston,Magnolia Springs,Montgomery,TX,2049,,,8,Luxury vinyl plank; W/D hookups; Modern appliances; Community playground; 2-car garage; Park; Ample cabinetry; Pickleball court,77316,"Montgomery, TX",ok
myrtle-gardens,houston,Myrtle Gardens,Magnolia,TX,2149,4,4,6,Fenced yard; Attached 2-car garage; Granite countertops; Luxury vinyl plank; Modern appliances; Community playground,77098;77354,"Magnolia, TX",ok
palisades-park,houston,Palisades Park,Houston,TX,2694,3,3,8,Attached 2-car garage; W/D hookups; Modern appliances; Quartz countertops; Walk-in closets; Air conditioning; Pantry; Balcony,77008;77098,,ok
tavola,houston,Tavola,New Caney,TX,1694,3,4,8,Fenced yard; Luxury vinyl plank; W/D hookups; Walking trails; Picnic areas; Community playground; Clubhouse; Swimming pool,77098;77357,,ok
gentle-woods,jacksonville,Gentle Woods,Jacksonville,FL,2344,3,4,6,Attached 2-car garage; Modern appliances; Recessed LED lighting; Kitchen island; Pantry; Screened-in patio and covered porch,32244;32256,,ok
grove-point,jacksonville,Grove Point,Orange Park,FL,1845,3,3,6,Modern appliances; Recessed LED lighting; Community pool; Pantry; Screened-in patio and covered porch; Attached 1-car garage,32065;32256,,ok
highland-chase,jacksonville,Highland Chase,Jacksonville,FL,2080,3,5,8,Modern appliances; Walk-in closets; Playground; Walking trails; Community pool; Kitchen island; Screened &amp; covered lanai; Outdoor fitness center,32219;32256,"Jacksonville, FL",ok
laylas-place,jacksonville,Layla's Place,Jacksonville,FL,2585,3,4,6,Attached 2-car garage; Modern appliances; Community playground; Kitchen island; Basketball court; Screened-in patio,32218;32256,"Jacksonville, FL",ok
oyster-creek,jacksonville,Oyster Creek,Jacksonville,FL,2619,3,4,5,Attached 2-car garage; Modern appliances; Kitchen island; Pond; Covered patio,32218;32256,"Jacksonville, FL",ok
spartina-cove,jacksonville,Spartina Cove,Jacksonville,FL,1895,3,3,4,Modern appliances; Walk-in closets; Screened-in patio and covered porch; Attached 1-car garage,32218;32256,,ok
1082-townhomes,nashville,1082 Townhomes,Smyrna,TN,2394,3,3,10,Attached 2-car garage; Luxury vinyl plank; Modern appliances; W/D included; Smart Home features; Quartz countertops; Walk-in closets; Community playground; Patio; Covered pavilion,37167,,ok
cedar-landing,nashville,Cedar Landing,Lebanon,TN,2045,3,3,9,Granite countertops; Luxury vinyl plank; Modern appliances; High-speed internet; Washer/dryer; 2-car garage; Upstairs bonus space; Dog park; Lawn care,37087,,ok
wyncliff,nashville,Wyncliff,Clarksville,TN,2194,3,4,8,Attached 2-car garage; Smart Home features; Walk-in closets; Playground; Patio; Green spaces; Kitchen island; Dog park,37043,"Clarksville, TN",ok
old-hickory,orlando,Old Hickory,St. Cloud,FL,2220,5,5,6,Attached 2-car garage; Modern appliances; Playground; Walking trails; Dog park; Central kitchen island,32701;34772,"St Cloud, FL",ok
parkside-trails,orlando,Parkside Trails,Clermont,FL,2735,3,5,10,Luxury vinyl plank; Modern appliances; Quartz countertops; Playground; Tennis courts; Pickleball Courts; Clubhouse; Fitness center; Pool; Dog park,32701;34714,"Clermont, FL",ok
silverleaf-oaks,orlando,Silverleaf Oaks,Winter Garden,FL,2797,3,5,7,Granite countertops; Modern appliances; Kitchen island; 2-car garage; Fitness center; Pool; Cabana,34787,"Winter Garden, FL",ok
tillman-lakes,orlando,Tillman Lakes,Melbourne,FL,2056,3,5,6,Playground; Walking trails; Green spaces; Pond; Outdoor exercise equipment; Dock,32908,"Melbourne, FL",ok
tohoqua,orlando,Tohoqua,Kissimmee,FL,2344,3,5,7,Granite countertops; Modern appliances; Kitchen island; Fitness center; Clubhouse; Resort-style pool; Tennis courts,32701;34744,"Kissimmee, FL",ok
vineland-reserve,orlando,Vineland Reserve,Osteen,FL,2344,3,4,7,Attached 2-car garage; W/D hookups; Playground; Walking trails; Air conditioning; Patio; Swimming pool,32701;32764,,ok
copper-falls,phoenix,Copper Falls,Buckeye,AZ,1835,4,4,7,Fenced yard; Granite countertops; Modern appliances; Playground; Picnic areas; Washer/dryer; 2-car garage,85284;85326,"Buckeye, AZ",ok
higley-park,phoenix,Higley Park,Gilbert,AZ,2275,3,4,9,Fenced yard; Granite countertops; Modern appliances; Smart Home features; Community playground; Community pool; Green spaces; Clubhouse; Splash pad,85224;85296,"Gilbert, AZ",ok
las-casas-at-windrose,phoenix,Las Casas at Windrose,Litchfield Park,AZ,2220,3,4,11,Granite countertops; Luxury vinyl plank; Modern appliances; Playground; Washer/dryer; Kitchen island; Fitness center; Resort-style pool; Private dog park; Attached garage; Gated Community,85340,"Litchfield Park, AZ",ok
addenbrook,salt-lake-city,Addenbrook,West Jordan,UT,,,,5,Attached 2-car garage; Luxury vinyl plank; Modern appliances; Smart Home features; Flexible basement space,,,ok
arcilla-ridge,san-antonio,Arcilla Ridge,San Antonio,TX,1494,2,3,7,Fenced yard; Granite countertops; Luxury vinyl plank; W/D hookups; Modern appliances; Walk-in closets; Recessed LED lighting,77098;78244,"San Antonio, TX",ok
brookmill,san-antonio,Brookmill,San Antonio,TX,1872,3,4,9,Fenced yard; Attached 2-car garage; Modern appliances; Playground; Recessed LED lighting; Fitness center; Clubhouse; Park; Pool,77098;78245,"San Antonio, TX",ok
glendale,san-antonio,Glendale,New Braunfels,TX,1594,3,4,8,Fenced yard; Granite countertops; Luxury vinyl plank; Modern appliances; Walk-in closets; Walking trails; Green spaces; Pond,78130,"New Braunfels, TX",ok
silos,san-antonio,Silos,San Antonio,TX,1730,2,4,8,Granite countertops; Modern appliances; Playground; Picnic areas; Community pool; Fitness center; Clubhouse; Park,77098;78252,"San Antonio, TX",ok
southton-meadows,san-antonio,Southton Meadows,San Antonio,TX,1470,2,4,8,Fenced yard; Granite countertops; Modern appliances; Playground; Walking trails; Picnic areas; Community pool; Clubhouse,77098;78223,"San Antonio, TX",ok
preston-estates,south-florida,Preston Estates,Vero Beach,FL,2144,2,2,5,Attached 2-car garage; Modern appliances; Kitchen island; Covered patio; Retention pond,32960;33324,,ok
cimarron-ridge,southern-california,Cimarron Ridge,Menifee,CA,3762,4,5,8,Granite countertops; Modern appliances; Solar; Fenced yards or patios; Automatic irrigation system; Park; Sports field; Walking trails,91203;92586,"Menifee, CA",ok
bryant-square,tampa,Bryant Square,New Port Richey,FL,2069,3,4,9,Granite countertops; Luxury vinyl plank; W/D hookups; Modern appliances; Community playground; Air conditioning; Walking and biking trails; Community pool; Green spaces,33609;34655,,ok
c5,tampa,C5,Fort Myers,FL,1892,3,3,9,W/D hookups; Pet-friendly; Modern appliances; Smart Home features; Community playground; Patio; Green spaces; Kitchen island; Scenic pond,33609;33913,"Fort Myers, FL",ok
caldera,tampa,Caldera,Spring Hill,FL,2137,3,4,9,Modern appliances; Playground; Walking trails; Community pool; Kitchen island; Fitness center; Clubhouse; Cabana; Pickleball Courts,34609,"Spring Hill, FL",ok
caloosa-creek,tampa,Caloosa Creek,Cape Coral,FL,1759,3,3,7,Pet-friendly; Modern appliances; Smart Home features; Playground; Patio; Kitchen island; Pond,33609;33909,"Cape Coral, FL",ok
cypress-mill,tampa,Cypress Mill,Sun City Center,FL,2104,6,6,9,Attached 2-car garage; Granite countertops; Playground; Kitchen island; Fitness center; Clubhouse; Pool and splash pad; Covered porch; Pickleball Courts,33573;33609,,ok
estates-at-lake-hammock,tampa,Estates at Lake Hammock,Haines City,FL,1920,4,4,8,Attached 2-car garage; Walk-in closets; Playground; Dog park; Patio or balcony; Central kitchen island; Community dock; Outdoor common areas,33609;33844,"Haines City, FL",ok
greenwood-villas,tampa,Greenwood Villas,Fort Myers,FL,2349,3,3,8,Modern appliances; Patio; Community pool; Green spaces; Kitchen island; Dog park; Fitness center; Clubhouse,33609;33967,"Fort Myers, FL",ok
grove-pointe,tampa,Grove Pointe,Palmetto,FL,2564,5,5,4,Fenced yard; Granite countertops; Recessed LED lighting; Modern kitchen and spacious pantry,34221,"Palmetto, FL",ok
hawks-glen,tampa,Hawks Glen,Ruskin,FL,2569,3,6,6,Attached 2-car garage; Granite countertops; W/D hookups; Modern appliances; Pantry; Gated Community,33570;33609,"Ruskin, FL",ok
hawthorne-meadows,tampa,Hawthorne Meadows,Gibsonton,FL,2319,3,6,7,Attached 2-car garage; Granite countertops; Modern appliances; Walking trails; Patio; Kitchen island; Park,33534;33609,"Gibsonton, FL",ok
hidden-palms,tampa,Hidden Palms,Venice,FL,2919,4,4,7,Fenced yard; Granite countertops; Modern appliances; 2-car garage; Washer and dryer included; 9&#039; ceilings; Covered lanai/patio,33609;34293,"Venice, FL",ok
pravela,tampa,Pravela,Palmetto,FL,2320,3,6,8,Attached 2-car garage; Granite countertops; Pet-friendly; Modern appliances; Smart Home features; Walk-in closets; Patio; Kitchen island,33609;34221,"Palmetto, FL",ok
silverlake,tampa,Silverlake,Lake Alfred,FL,2220,3,4,6,Attached 2-car garage; Luxury vinyl plank; Modern appliances; Playground; Dog park; Bonus room,33609;33850,"Lake Alfred, FL",ok
spencer-creek,tampa,Spencer Creek,Ruskin,FL,2394,3,6,8,Modern appliances; Community playground; Community pool; Kitchen island; Dog park; Basketball court; Attached garage; Spacious floor plans,33570;33609,"Ruskin, FL",ok
twin-rivers,tampa,The Enclave at Twin Rivers,Parrish,FL,2620,3,4,6,Modern appliances; Garage; Playground; Basketball court; Boardwalk; Boat ramp access,33609;34219,"Parrish, FL",ok
the-heights,tampa,The Heights,Tampa,FL,2210,3,3,6,Granite countertops; Modern appliances; Recessed LED lighting; Washer/dryer; Private driveway and patio; Modern kitchen,33609;33619,,ok
westport-townhouses,tampa,Westport Townhouses,Port Charlotte,FL,,,,9,W/D hookups; Modern appliances; Walk-in closets; Playground; Patio; Community pool; Baseball fields; Recreation center; Gym,33609,,ok
woodsdale-landing,tampa,Woodsdale Landing,Wesley Chapel,FL,2100,3,3,7,Luxury vinyl plank; Modern appliances; Recessed LED lighting; Community playground; Dog park; Washer and dryer included; Resort-style pool with amenities center,33545;33609,,ok
